Priority,Key,Store,Wine_Name,Location,Price,Wine_Sort,Wine_Origin,Grape_1,Grape_2,Grape_3,Acid,Sweet,Sparkling,Food_match
629,SG0349,신세계백화점,서브미션 까베르네쇼비뇽,"본점, 의정부점, 센텀시티점",29000,레드,미국,까베르네쇼비뇽,메를로,,3,1,0,"B01, C01, F01"
630,SG0350,신세계백화점,서브미션 레드블렌딩,"본점, 의정부점, 센텀시티점",29000,레드,미국,블랜딩,,,3,1,0,E03
631,EM0294,이마트몰,델리카토 337 까베르네쇼비뇽,"가든5점, 가양점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 보령점, 사상점, 산본점, 상봉점, 상주점, 서산점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수색점, 수지점, 순천점, 신제주점, 아산점, 안동점, 안성점, 양산점, 양재점, 양주점, 여수점, 여주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 자양점, 중동점, 진접점, 진주점, 창원점, 천안서북점, 청주점, 춘천점, 충주점, 칠성점, 통영점, 파주점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 하월곡점, 해운대점, 화성봉담점, 화정점",29800,레드,미국,까베르네쇼비뇽,0,0,2,2,,"B01, E01, F02"
632,SG0351,신세계백화점,로즈마운트 블랜드 쉬라즈 까베르네,본점,30000,레드,호주,쉬라즈,까베르네소비뇽,0,2,1,,"B02, F01, C01"
633,EM0295,이마트몰,델리카토 181 멜롯,"가든5점, 가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서산점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수색점, 수지점, 순천점, 신도림점, 아산점, 안동점, 안성점, 양재점, 양주점, 여수점, 여주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 자양점, 중동점, 진접점, 진주점, 창원점, 천안서북점, 천안점, 청주점, 춘천점, 충주점, 칠성점, 통영점, 파주점, 펜타포트점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 하월곡점, 해운대점, 화성봉담점, 화정점",30000,레드,미국,메를로,0,0,2,2,0,"C01, B02, F02"
634,SG0352,신세계백화점,테레 디 산 레오나르도,"의정부점, 마산점",32000,레드,이탈리아,까베르네쇼비뇽,메를로,까르메네르,3,1,0,"B01, C01, E04"
635,SG0353,신세계백화점,베테 디 산 레오나르도,"의정부점, 센텀시티점",32000,화이트,이탈리아,소비뇽블랑,,,3,1,0,"B02, B03, F04, F02"
636,EM0296,이마트몰,베린저 터널 오브 엘름 메를로,"가양점, 강릉점, 검단점, 경산점, 고잔점, 구미점, 군산점, 금정점, 김천점, 대전터미널점, 동구미점, 둔산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 봉선점, 산본점, 서귀포점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수색점, 수지점, 순천점, 신도림점, 신제주점, 안동점, 양산점, 양재점, 양주점, 여주점, 연수점, 영등포점, 오산점, 원주점, 월계점, 월배점, 의정부점, 이천점, 익산점, 자양점, 제주점, 중동점, 진주점, 창원점, 천안점, 춘천점, 충주점, 칠성점, 통영점, 펜타포트점, 포항이동점, 포항점, 하월곡점, 해운대점",33000,레드,미국,메를로,0,0,3,1,0,"C01, B02"
637,EM0297,이마트몰,베린저 터널 오브 엘름 까베르네 소비뇽,"가양점, 강릉점, 검단점, 경산점, 고잔점, 구미점, 군산점, 금정점, 김천점, 대전터미널점, 동구미점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 봉선점, 산본점, 서귀포점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수색점, 수지점, 순천점, 신도림점, 신제주점, 안동점, 양산점, 양재점, 양주점, 여주점, 연수점, 영등포점, 오산점, 월계점, 월배점, 의정부점, 이천점, 익산점, 제주점, 중동점, 진주점, 창원점, 천안점, 춘천점, 충주점, 칠성점, 통영점, 펜타포트점, 포항이동점, 포항점, 해운대점, 화성봉담점",33000,레드,미국,까베르네쇼비뇽,0,0,2,1,0,"B01, E01"
638,SG0354,신세계백화점,또스띠 레드 아모레,본점,35000,레드,이탈리아,브라께또,0,0,1,5,,"E04, B01, E01, F02"
639,SG0355,신세계백화점,프레스코발디 니포짜노 끼안티 리제르바,"본점, 의정부점, 센텀시티점",38000,레드,이탈리아,산지오베제,,,3,1,0,"D01, E04, E01, G01"
640,EM0298,이마트몰,더 나파,"가든5점, 가양점, 강릉점, 검단점, 경산점, 고잔점, 광산점, 구미점, 군산점, 금정점, 김천점, 대전터미널점, 동구미점, 동백점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 문현점, 반야월점, 별내점, 봉선점, 산본점, 서수원점, 성서점, 성수점, 속초점, 수색점, 수지점, 순천점, 신도림점, 신제주점, 안동점, 양산점, 양재점, 양주점, 여주점, 연수점, 영등포점, 오산점, 원주점, 월계점, 월배점, 의정부점, 이천점, 익산점, 자양점, 제주점, 중동점, 진주점, 창원점, 천안점, 춘천점, 충주점, 칠성점, 통영점, 펜타포트점, 포항이동점, 포항점, 하남점, 하월곡점",39800,레드,미국,메를로,까베르네소비뇽,쁘띠쉬라,2,1,0,"C01, E03, F01"
641,SG0356,신세계백화점,장 미셸 기불로 사비니 레 본 루즈 17,"본점, 의정부점, 센텀시티점",43000,레드,프랑스,피노누아,,,3,1,0,"C02, D01, G01"
642,SG0357,신세계백화점,프레스코발디 카스텔지오콘도 로쏘 디 몬탈치노,"본점, 의정부점, 센텀시티점",45000,레드,이탈리아,산지오베제,,,3,1,0,"D01, E04, E01"
643,SG0358,신세계백화점,샤를르 드 까자노브 로제,"의정부점, 타임스퀘어점",50000,화이트,프랑스,피노누아,샤도네이,0,3,1,1,"B02, D02, F04"
644,EM0299,이마트몰,핀카 라스 모라스 레세르바 까베르네-시라,"가든5점, 가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서산점, 서수원점, 성서점, 세종점, 속초점, 수색점, 수지점, 순천점, 신도림점, 아산점, 안동점, 안성점, 양산점, 양재점, 양주점, 여수점, 여주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 자양점, 중동점, 진접점, 진주점, 창원점, 천안서북점, 천안점, 청주점, 춘천점, 충주점, 칠성점, 통영점, 파주점, 펜타포트점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 해운대점, 화성봉담점, 화정점",53000,레드,아르헨티나,까베르네쇼비뇽,쉬라즈,0,3,1,,"B02, E01, F01"
645,SG0359,신세계백화점,짐 배리 랏지힐 쉬라즈 750ML,"경기점, 센텀시티점, 타임스퀘어점",55000,레드,호주,쉬라즈,0,0,2,1,,"B02, E01, E03"
646,EM0300,이마트몰,양가라 올드바인 그르나슈,"가든5점, 가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서산점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수색점, 수지점, 아산점, 안동점, 안성점, 양산점, 양재점, 양주점, 여수점, 여주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 자양점, 진접점, 진주점, 창원점, 천안서북점, 천안점, 청주점, 춘천점, 충주점, 칠성점, 통영점, 파주점, 펜타포트점, 평촌점, 포천점, 포항이동점, 포항점, 하남점, 하월곡점, 해운대점, 화성봉담점, 화정점",59000,레드,호주,그르나슈,,,4,3,0,E03
647,SG0360,신세계백화점,"샤토 페랑드, 루즈",본점,68000,레드,프랑스,까베르네쇼비뇽,메를로,0,2,1,,"B01, C01, F01"
648,SG0361,신세계백화점,피에르 뤼통 레드,"본점, 대구점, 강남점, 경기점",70000,레드,프랑스,메를로,까베르네소비뇽,까베르네프랑,1,1,0,"C01, D01, F02"
649,SG0362,신세계백화점,LDV 다빈치 스트레다 750ML,"본점, 강남점, 경기점, 센텀시티점, 타임스퀘어점",70000,화이트,이탈리아,베르멘티노,,,5,1,0,"C01, F01, D01"
650,SG0363,신세계백화점,"발데리즈, 발데리즈",본점,70000,레드,스페인,템프라니요,0,0,2,1,,"C02, E02, G01"
651,SG0364,신세계백화점,털리와인셀러 쥬비나일 진판델,"본점, 강남점, 센텀시티점",76000,레드,미국,진판델,0,0,2,1,,"B02, D01, G01"
652,EM0301,이마트몰,폴렌바이더 크뢰버 스테팬스베르그 슈페트레제,"가든5점, 가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서산점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수색점, 수지점, 순천점, 신도림점, 아산점, 안동점, 안성점, 양산점, 양재점, 양주점, 여수점, 여주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 자양점, 중동점, 진접점, 진주점, 창원점, 천안서북점, 천안점, 청주점, 춘천점, 충주점, 칠성점, 통영점, 파주점, 펜타포트점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 하월곡점, 해운대점, 화성봉담점, 화정점",77000,화이트,독일,리슬링,0,0,4,5,,"C01, D01, F01, G02"
653,SG0365,신세계백화점,홀리스 나파밸리 까베르네쇼비뇽,"본점, 경기점, 의정부점, 마산점, 대구점",89000,레드,미국,까베르네쇼비뇽,0,0,3,1,,"B01, E01"
654,SG0366,신세계백화점,끌로 씨프레스,본점,95000,레드,스페인,까리냥,,,2,1,0,"B02, D01, G01"
655,SG0367,신세계백화점,보리우 빈야드 나파 까베르네 소비뇽,본점,99000,레드,미국,까베르네쇼비뇽,0,0,1,1,,"B01, E01, F02"
656,SG0368,신세계백화점,까델 보스코 프란치아코르타 뀌베 엑스트라 브륏 750ML,본점,103000,화이트,이탈리아,샤도네이,피노비앙코,피노네로,3,1,,"B01, F04, D01"
657,SG0369,신세계백화점,카를로 펠레그리노 마르살라 베르지네 리제르바 빈티지,본점,105000,레드,이탈리아,그릴로,카타라토,인졸리아,2,2,,"E04, F01"
658,SG0370,신세계백화점,꾸마로,본점,105000,레드,이탈리아,몬테풀치아노,0,0,3,2,,"E04, F02"
659,SG0371,신세계백화점,"나파 하이랜즈, 샤도네이","본점, 강남점, 센텀시티점",124000,화이트,미국,샤도네이,0,0,2,1,0,"B01, E01, G01, G02"
660,SG0372,신세계백화점,샤또 부스코 블랑 17,본점,130000,화이트,프랑스,소비뇽블랑,세밀리온,0,3,1,,"B02, B03, F04"
661,SG0373,신세계백화점,오시앙,"본점, 강남점, 센텀시티점",134000,화이트,스페인,베르데호,0,0,2,1,0,"D02, E01, G01, G02"
662,SG0374,신세계백화점,"나파 하이랜즈, 카베르네 소비뇽","본점, 강남점, 센텀시티점",144000,레드,미국,까베르네쇼비뇽,쁘띠베르도,0,2,1,0,"B01, E01, F01"
663,SG0375,신세계백화점,샤를 조게 끌로 드 라 디오트리,본점,150000,레드,프랑스,까베르네프랑,0,0,4,1,,"B02, E02"
664,SG0376,신세계백화점,탑 와인메이커스 탑 블랜드,본점,188000,레드,칠레,레드블렌딩,0,0,3,1,,"B02, E02"
665,SG0377,신세계백화점,시부미놀 샤도네이,본점,280000,화이트,미국,샤도네이,0,0,3,1,,"B01, F04, D01"
666,SG0378,신세계백화점,시부미놀 피노누아,"강남점, 본점",280000,레드,미국,피노누아,0,0,3,1,,"C02, D01, G01"
667,EM0302,이마트몰,들라스 꼬뜨로띠 라랑돈,"가든5점, 가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서산점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수색점, 수지점, 순천점, 신도림점, 아산점, 안동점, 안성점, 양산점, 양주점, 여수점, 여주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 원주점, 월계점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 자양점, 중동점, 진접점, 진주점, 창원점, 천안서북점, 천안점, 청주점, 춘천점, 충주점, 칠성점, 통영점, 파주점, 펜타포트점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 하월곡점, 해운대점, 화성봉담점, 화정점",350000,레드,프랑스,쉬라즈,비오니에,,2,2,0,"F01, B01, C01, F02"
668,EM0303,이마트몰,까르민 데 페우모,"가든5점, 가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서산점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수색점, 수지점, 순천점, 신도림점, 아산점, 안동점, 안성점, 양산점, 양재점, 양주점, 여수점, 여주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 자양점, 중동점, 진접점, 진주점, 창원점, 천안서북점, 천안점, 청주점, 춘천점, 충주점, 칠성점, 통영점, 파주점, 펜타포트점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 하월곡점, 해운대점, 화성봉담점, 화정점",360000,레드,칠레,까르메네르,까베르네소비뇽,까베르네프랑,2,1,0,"E03, E01, E04"
669,SG0379,신세계백화점,끌로 모가도르,본점,450000,레드,스페인,가르나차,까리냥,쉬라즈,2,1,0,"F01, E02"
670,SG0380,신세계백화점,아르망 드 브리냑 로제,"본점, 경기점",1320000,화이트,프랑스,피노누아,샤도네이,피노 므니에,0,0,1,"B02, D02, G01, G02"
671,SG0381,신세계백화점,헌드레드에이커 아크 까베르네쇼비뇽,"본점, 경기점",1600000,레드,미국,까베르네쇼비뇽,0,0,2,1,,"B01, E01"
672,LM0001,롯데마트,레알 푸엔테 드라이,,3900,레드,스페인,템프라니요,0,0,3,2,0,"C02, E02, A01, E04"
673,LM0002,롯데마트,산타헬레나 샤르도네,,8900,화이트,칠레,샤도네이,0,0,3,1,0,"B01, C01, F02, G01, A01, B02, F03"
674,LM0003,롯데마트,간치아 모스카토 다스티,,15900,화이트,이탈리아,모스카토,0,0,2,3,1,"D02, E01, F04, G01, A01"
675,LM0004,롯데마트,브로켈 말벡,,14900,레드,아르헨티나,말벡,,,3,1,0,"B01, E01, A01"
676,LM0005,롯데마트,로쉐 마제 까베르네소비뇽,,9900,레드,프랑스,까베르네쇼비뇽,0,0,4,1,0,"B01, E01, A01"
677,LM0006,롯데마트,그래블리 포드 피노누아,,14900,레드,미국,까베르네쇼비뇽,0,0,3,1,0,"B01, E01, A01"
678,LM0007,롯데마트,끌로에 까베르네쇼비뇽 스페셜,,8900,레드,칠레,까베르네쇼비뇽,0,0,3,3,0,"B01, E01, A01"
679,LM0008,롯데마트,란 리세르바,,25900,레드,스페인,템프라니요,0,0,4,1,0,"C02, E02, A01"
680,LM0009,롯데마트,트리벤토 리저브 리미티드 에디션 카버네말벡,,10900,레드,아르헨티나,까베르네쇼비뇽,말벡,0,2,2,0,"B01, E01, F01, A01"
681,LM0010,롯데마트,나투아 스페셜셀렉션 카베네쇼비뇽,,4800,레드,칠레,까베르네쇼비뇽,0,0,2,1,0,"B01, E01, F01, A01"
682,LM0012,롯데마트,산타헬레나 까베르네 소비뇽,,8900,레드,칠레,까베르네쇼비뇽,0,0,3,1,0,"B01, E01, A01"
683,LM0013,롯데마트,떼땅져 리저브 브뤼,,74900,화이트,프랑스,샤도네이,피노뮈니에,0,3,1,1,"B01, C01, F02, G01, A01, B03"
684,LM0014,롯데마트,몬테스 와인메이커스 초이스 말벡,,11900,레드,칠레,말벡,0,0,2,2,0,"B01, E01, F01, A01"
685,LM0015,롯데마트,보시오 트로피칼 모스카토 패션프롯,,15900,화이트,이탈리아,모스카토,0,0,2,4,1,"D02, F04, G01, G02, A01"
686,LM0016,롯데마트,위 리저브 당글레 루즈,,11900,레드,프랑스,그르나슈,쉬라즈,0,3,1,0,"B02, E03, A01"
687,LM0017,롯데마트,위 리저브 당글레 블랑,,11900,화이트,프랑스,그르나슈,0,0,2,2,0,"D02, E01, F04, G01, A01"
688,LM0018,롯데마트,두르뜨 그랑 떼루아 보르도 블랑,,12900,화이트,프랑스,소비뇽블랑,세미용,0,3,1,0,"B02, C01, F02, G01, A01"
689,LM0019,롯데마트,레알 푸엔테 세미스위트,,3900,레드,스페인,템프라니요,0,0,3,4,0,"C02, E02, F02, A01"
690,LM0020,롯데마트,나투아 스페셜셀렉션 멜롯,,4800,레드,칠레,메를로,0,0,2,1,0,"C01, F01, A01, E04"
691,LM0021,롯데마트,트리벤토 리저브 리미티드 에디션 말벡,,10900,레드,아르헨티나,말벡,0,0,3,1,0,"B01, E01, A01"
692,LM0022,롯데마트,L 까베르네쇼비뇽,,6900,레드,칠레,까베르네쇼비뇽,0,0,2,1,0,"B01, E01, F01"
693,LM0023,롯데마트,몬테스 와인메이커스 초이스 카버네 소비뇽,,11900,레드,칠레,까베르네쇼비뇽,메를로,0,2,1,0,"C01, E01, F01, A01"
694,LM0024,롯데마트,빌라M 로쏘,,24000,화이트,이탈리아,브라케토,0,0,3,4,0,"C01, D01, D02, F02, G01, G02, A01"
695,LM0025,롯데마트,프로스페로 모스카토,,5900,화이트,스페인,모스카토,0,0,3,2,1,"C01, D01, D02, E01, F02, G01, A01"
696,LM0026,롯데마트,카를로 사니 수수마니엘로,,23900,레드,이탈리아,수수마니엘로,0,0,2,1,0,"F01, A01, C01, G01"
697,LM0027,롯데마트,디아블로 까베르네쇼비뇽,,12800,레드,칠레,까베르네쇼비뇽,0,0,3,1,0,"B01, E01, A01"
698,LM0028,롯데마트,L 샤도네이,,6900,화이트,칠레,샤도네이,0,0,3,2,0,"B01, C01, E01, F02, G01, A01, B03"
699,LM0029,롯데마트,조닌 모스카토 다스티,,14900,화이트,이탈리아,모스카토,0,0,2,4,0,"D02, F04, G01, G02, A01"
700,LM0030,롯데마트,베어풋 까베르네쇼비뇽,,9900,레드,미국,까베르네쇼비뇽,,,3,2,0,"B01, E01"
701,LM0031,롯데마트,샤또 르팽 프랑 보르도,,5900,레드,프랑스,까베르네쇼비뇽,메를로,0,3,2,0,"C01, E01, B02"
702,LM0032,롯데마트,빌라 엠,,23000,화이트,이탈리아,모스카토,0,0,3,4,0,"C01, D01, D02, F02, G01, G02, A01"
703,LM0033,롯데마트,나투아 소비뇽블랑,,4800,화이트,칠레,소비뇽블랑,0,0,2,3,0,"B02, E01, F04, G01, A01, B03, F03"
704,LM0034,롯데마트,발비 소프라니 모스카토 다스티,,14900,화이트,이탈리아,모스카토,0,0,3,4,0,"C01, D01, D02, F02, G01, G02"
705,LM0035,롯데마트,돈 시몬 상그리아 매그넘,,9900,레드,스페인,템프라니요,0,0,4,5,0,"C02, E02, F02"
706,LM0036,롯데마트,1865 까르미네르,,32800,레드,칠레,까르메네르,0,0,2,1,0,"F01, A01, B02, E02, E04, F02, G01"
707,LM0037,롯데마트,L 멜롯,,6900,레드,칠레,메를로,0,0,2,1,0,"C01, F01, B02, E04"
708,LM0038,롯데마트,뵈브 올리비에,,14900,화이트,프랑스,아이렌,0,0,3,5,1,"C01, D01, D02, F02, G01, G02"
709,LM0039,롯데마트,로쉐 마제 피노누아,,11900,레드,프랑스,피노누아,0,0,3,1,0,"C02, D01, G01, A01"
710,LM0040,롯데마트,옐로우테일 쉬라즈,,15800,레드,호주,쉬라즈,0,0,1,1,0,"B02, E04"
711,LM0041,롯데마트,올리베라스,,4900,레드,스페인,템프라니요,0,0,2,1,0,"C02, E02, F01"
712,LM0042,롯데마트,롱 클라우드 리저브 소비뇽 블랑,,19900,화이트,뉴질랜드,소비뇽블랑,0,0,4,2,0,"B02, B03, C01, F01, F03"
713,LM0043,롯데마트,로베르토 사로토 바롤로,,39000,레드,이탈리아,네비올로,0,0,4,1,0,"A01, B02, C02, E02, E04"
714,LM0045,롯데마트,롤라이오 상그리아 레드,,10900,레드,스페인,템프라니요,0,0,1,4,0,"C02, E02, F02"
715,LM0046,롯데마트,페리에주에 그랑브뤼,,79000,화이트,프랑스,샤도네이,피노누아,피노뮈니에,2,1,1,"B01, F04, G01, A01, B02, B03"
716,LM0047,롯데마트,몬테스 와인메이커스 초이스 소비뇽 블랑,,11900,화이트,칠레,소비뇽블랑,0,0,4,1,0,"B02, B03, C01, F01, F03"
717,LM0048,롯데마트,블루넌 돈펠더,,12900,레드,독일,돈펠더,0,0,1,4,0,F02
718,LM0049,롯데마트,앙시앙땅 샤도네이 소비뇽블랑,,14800,화이트,프랑스,샤도네이,소비뇽블랑,,2,1,0,"B01, F04, G01, F03"
719,LM0050,롯데마트,칼로로시 콩코드,,16900,레드,미국,콩코드,0,0,1,4,0,F02
720,LM0053,롯데마트,칼로로시 콩코드,,9900,레드,미국,콩코드,0,0,1,4,0,F02
721,LM0054,롯데마트,헨켈 할브 트로켄,,18900,화이트,독일,샤도네이,피노누아,0,2,4,1,"B01, F04, G01, G02"
722,LM0055,롯데마트,브레드앤버터 샤도네이,,48000,화이트,미국,샤도네이,,,2,1,0,"B01, F04, G01, A01, D01, E01, F01, G02"
723,LM0056,롯데마트,아랄디카 모스카토다스티,,14900,화이트,이탈리아,모스카토,0,0,2,4,1,"D02, F04, G01, G02"
724,LM0057,롯데마트,디아블로 샤도네이,,12800,화이트,칠레,샤도네이,0,0,3,1,0,"B01, C01, F02, G01"
725,LM0058,롯데마트,칼로로시 상그리아,,12900,레드,미국,레드블렌딩,0,0,3,3,0,E03
726,LM0062,롯데마트,오이스터베이 소비뇽블랑,,33000,화이트,뉴질랜드,소비뇽블랑,0,0,4,2,0,"B02, B03, C01, F01, A01, D01, E01, F03, G02"
727,LM0063,롯데마트,헨켈 트로켄,,23900,화이트,독일,리슬링,0,0,3,2,1,"C01, D01, D02, E01, F02, G01, B02"
728,LM0064,롯데마트,알타비스타 엑스트라 브륏 블랑 드 블랑,,24900,화이트,아르헨티나,샤도네이,0,0,2,1,1,"B01, F04, G01, A01, B02, F03"
729,LM0065,롯데마트,샤또 기봉 레드,,16900,레드,프랑스,까베르네쇼비뇽,메를로,0,3,1,0,"C01, E01"
730,LM0066,롯데마트,프레시넷 꼬든네그로 브뤼,,16900,화이트,스페인,마까뭬,빠레야다,사렐로,2,1,1,"D02, F04, G01, F03"
731,LM0067,롯데마트,베어풋 모스카토,,9900,화이트,미국,모스카토,0,0,2,5,0,"D02, F04, G01, G02, A01, D01, F03"
732,LM0068,롯데마트,텍스트북 나파 메를로,,62000,레드,미국,메를로,,,1,1,0,"C01, A01, B01, E01, E02, E03, F02"
733,LM0069,롯데마트,35사우스 까베르네쇼비뇽,,11900,레드,칠레,까베르네쇼비뇽,0,0,3,1,0,"B01, E01"
734,LM0070,롯데마트,르프롱드 모스카토다스티,,18900,화이트,이탈리아,모스카토,0,0,1,4,0,"D02, F04, G01, G02"
735,LM0071,롯데마트,카멜로드 몬테레이 피노누아,,29900,레드,미국,피노누아,0,0,2,1,0,"C02, D01, G01, F01, A01"
736,LM0072,롯데마트,산타리나 120 까베르네쇼비뇽,,9900,레드,칠레,까베르네쇼비뇽,0,0,2,1,0,"B01, E01, F01"
737,LM0073,롯데마트,트러플 헌터 모스카토 다스티 DOCG,,14900,화이트,스페인,모스카토,0,0,2,4,0,"D02, F04, G01, G02"
738,LM0074,롯데마트,아포틱 레드,,17500,레드,미국,까베르네쇼비뇽,메를로,쉬라즈,2,1,0,"B02, C01, E01, F01"
739,LM0075,롯데마트,델리카토 1924 버번 배럴 까베르네 소비뇽,,25900,레드,미국,까베르네쇼비뇽,메를로,쉬라즈,2,1,0,"B02, C01, E01, F01, A01"
740,LM0076,롯데마트,블루넌 스위트 까베르네쇼비뇽,,10900,레드,독일,까베르네쇼비뇽,,,1,4,0,"B01, E01"
741,LM0077,롯데마트,포르타6 띤또,,15900,레드,포르투갈,템프라니요,0,0,2,1,0,"C02, E02, F01"
742,LM0078,롯데마트,레오 드 샹부스탱 까베르네,,7900,레드,프랑스,까베르네쇼비뇽,0,0,3,2,0,"B01, E01"
743,LM0079,롯데마트,얄룸바 Y시리즈 쉬라즈 비오니에,,17900,레드,호주,쉬라즈,0,0,2,1,0,"B02, F01"
744,LM0080,롯데마트,펜폴즈 로손 리트리트 샤르도네,,12900,화이트,호주,샤도네이,0,0,3,1,0,"B01, C01, F02, G01"
745,LM0082,롯데마트,브라운 브라더스 시에나,,15900,레드,호주,시에나,,,3,3,0,E04
746,LM0083,롯데마트,레알 꼼빠니아 뗌쁘라니요,,9900,레드,스페인,템프라니요,0,0,2,1,0,"C02, E02, F01"
747,LM0084,롯데마트,반피 티아라 모스카토다스티,,9900,화이트,이탈리아,모스카토,0,0,1,4,0,"D02, F04, G01, G02, B02, F01, F03"
748,LM0085,롯데마트,두르뜨 그랑 떼루아 보르도 수페리에르 2015,,15900,레드,프랑스,까베르네프랑,까베르네쇼비뇽,메를로,3,1,0,C01
749,LM0086,롯데마트,마르께스 드 모니스트롤,,20000,화이트,스페인,마까뭬,0,0,3,2,1,"C01, D01, D02, E01, F02, G01"
750,LM0087,롯데마트,메나데 베르데호 갤로,,19900,화이트,스페인,베르데호,0,0,1,3,0,"D02, F04, G01, F03"
751,LM0088,롯데마트,카르멘 그란 리쎄르바 프리다칼로 에디션 까르메네르,,16900,레드,칠레,까베르네쇼비뇽,까르메네르,0,3,1,0,"B01, E01"
752,LM0089,롯데마트,M 화이트,,12900,화이트,이탈리아,모스카토,0,0,3,4,0,"C01, D01, D02, F02, G01, G02"
753,LM0090,롯데마트,아포틱 다크,,17500,레드,미국,까베르네쇼비뇽,쁘띠 쉬라즈,0,4,1,0,"B02, E01"
754,LM0091,롯데마트,페폴리 키안티 클라시코,,29900,레드,이탈리아,산지오베제,0,0,3,1,0,"D01, G01, A01"
