Priority,Key,Store,Wine_Name,Location,Price,Wine_Sort,Wine_Origin,Grape_1,Grape_2,Grape_3,Acid,Sweet,Sparkling,Food_match
232,SG0126,신세계백화점,멧츠로드 피노누아,"강남점, 경기점, 의정부점, 대구점, 본점, 센텀시티점, 마산점, 타임스퀘어점",39000,레드,미국,피노누아,0,0,3,1,,"C02, D01, G01, E03"
233,EM0115,이마트몰,고세 그랑 로제 브륏,"강릉점, 검단점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상주점, 서산점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수색점, 수지점, 순천점, 아산점, 안동점, 안성점, 양산점, 양재점, 양주점, 여수점, 여주점, 연수점, 연제점, 영천점, 오산점, 울산점, 원주점, 월계점, 의왕점, 의정부점, 이천점, 익산점, 자양점, 중동점, 진접점, 천안서북점, 천안점, 춘천점, 충주점, 칠성점, 통영점, 파주점, 펜타포트점, 평촌점, 포천점, 포항점, 하남점, 화성봉담점",120000,화이트,프랑스,샤도네이,피노누아,,5,1,1,"B01, C01, F01, A01, E01, F04"
234,SG0127,신세계백화점,샤또 생 미셸 콜드 크릭 까베르네 소비뇽,"강남점, 경기점, 센텀시티점, 대구점",74000,레드,미국,까베르네쇼비뇽,0,0,2,1,,"B01, E01, E03"
235,SG0128,신세계백화점,베린저 브로스 샤르도네,"강남점, 경기점, 센텀시티점, 대구점",45000,화이트,미국,샤도네이,슈냉블랑,,2,1,0,"B01, E01, G01, F02"
236,EM0116,이마트몰,펜폴즈 로손 리트리트 쉬라즈,"가든5점, 가양점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 김천점, 동구미점, 동인천점, 동해점, 마산점, 마포점, 만촌점, 명일점, 문현점, 반야월점, 보라점, 보령점, 봉선점, 상봉점, 상주점, 서산점, 성수점, 세종점, 아산점, 안동점, 안성점, 양재점, 양주점, 여수점, 여주점, 영천점, 오산점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 중동점, 진접점, 진주점, 천안서북점, 청주점, 충주점, 통영점, 파주점, 평촌점, 평택점, 포항이동점, 포항점, 하남점, 해운대점, 화정점",25000,레드,호주,쉬라즈,0,0,1,1,,B02
237,EM0117,이마트몰,베린저 브로스 소비뇽 블랑,"가든5점, 가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 산본점, 상봉점, 상주점, 서산점, 서수원점, 성수점, 세종점, 속초점, 수색점, 수지점, 순천점, 아산점, 안동점, 안성점, 양재점, 양주점, 여수점, 여주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 중동점, 진접점, 진주점, 창원점, 천안점, 청주점, 춘천점, 충주점, 칠성점, 통영점, 파주점, 펜타포트점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 하월곡점, 해운대점, 화정점",29800,화이트,미국,소비뇽블랑,0,0,3,1,,"B02, B03, F02, G01, E01"
238,SG0129,신세계백화점,도메니꼬 끌레리꼬 바르베라 달바 트레비네,본점,110000,레드,이탈리아,바르베라,0,0,3,1,,"E04, A01, E03"
239,SG0130,신세계백화점,호니그 소비뇽블랑,"강남점, 본점, 의정부점, 센텀시티점, 마산점, 대구점",35000,화이트,미국,소비뇽블랑,,,4,1,0,"B02, B03, C01, F01, F03"
240,SG0131,신세계백화점,킴 크로포드 피노누아 750ML,"센텀시티점, 타임스퀘어점",52000,레드,뉴질랜드,피노누아,0,0,3,1,0,"C02, D01, G01"
241,SG0133,신세계백화점,프리마크 아비 샤르도네,"본점, 강남점, 대구점, 경기점",150000,화이트,미국,샤도네이,0,0,4,1,,"B01, C01, F01, F02"
